name,Actor,Gender,Hair,Age,Occupation,Family,First Appearance,Last Appearance,Death Episode,Cause of Death,Status,Series Lifespan,Ethnicity
Paulie,Unknown,Male,Brown,Mid 40s,Unknown,Unknown,"""Honor""","""Honor""","""Honor""",Killed by either Carol Peletier or Morgan Jones,Dead,"	    ""Honor""",Caucasian-American
Zia,Ciera L. Payton,Female,Brown,Early to Mid 30s,Unknown,Unknown,"""The King, the Widow, and Rick""","""The King, the Widow, and Rick""","""The King, the Widow, and Rick""","Caught in a truck impact, then shot by Daryl Dixon.",Dead,"	    ""The King, the Widow, and Rick""",African-American
Leo,Adam Cronan,Male,Brown,Early to mid 40s,Unknown,Unknown,"""The King, the Widow, and Rick""","""The King, the Widow, and Rick""","""The King, the Widow, and Rick""",Blown up with a RPG by Rosita.,Dead,"	    ""The King, the Widow, and Rick""",Caucasian-American
Yago,Charles Halford,Male,Brown,Late 40s,Unknown,Unknown,"""Some Guy""","""The Big Scary U""","""The Big Scary U""",Stabbed in the gut by Rick Grimes (Alive)Stabbed in the head by Rick Grimes (Before Reanimation),Dead,"	    ""Some Guy"" to ""The Big Scary U""",Caucasian-American
Joey,Trey Butler,Male,Dark Brown,Mid 20s,Unknown,Unknown,"""Some Guy""","""Some Guy""","""Some Guy""",Shot to death by his fellow Saviors.,Dead,"	    ""Some Guy""",Caucasian-American
Gunther,Whitmer Thomas,Male,Dirty blond,Early to mid 20s,Unknown,Unknown,"""Some Guy""","""Some Guy""","""Some Guy""",Chopped in half by Jerry.,Dead,"	    ""Some Guy""",Caucasian-American
Rudy,Keith Hudson,,Brown,Mid 50s,Unknown,Unknown,"""Some Guy""","""Some Guy""","""Some Guy""",Shot multiple times by Carol.,Dead,"	    ""Some Guy""",Caucasian-American
Todd,Lee Norris,Male,Brown,Mid 20's,Former Worker for the Saviors (Post-Apocalypse),Unknown,"""The Damned""","""Monsters""","""Monsters""",Shot in the head by Daryl Dixon.,Dead,"	    ""The Damned"" to ""Monsters""",Caucasian-American
Dino,Rick Shoemaker,Male,Black,Mid to late 30's,Unknown,Unknown,"""The Damned""","""The Damned""","""The Damned"" (Alive)  ""Monsters"" (Zombified, Off-Screen)",Shot and then put down by the Militia,Dead,"	    ""The Damned""",Caucasian-American
Huck,Miya Golden,Female,Brown,Mid to late 30s,Guard for the Saviors (Post-Apocalypse),Unknown,"""Sing Me a Song""","""The Damned""","""Monsters"" (Off-Screen)",Shot by the Militia,Dead,"	    ""Sing Me a Song"" to ""Monsters""",African/Caucasian-American
Wade,Darin Cooper,Male,Unknown,Mid 40s to early 50s,Former lieutenant of the Saviors (Post-Apocalypse),Unknown,"""Always Accountable""","""Always Accountable""",,,Dead,"	    ""Always Accountable""",Caucasian-American
Cam,Matt Lowe,Male,Brown,Early to mid 30s,Unknown,,"""Always Accountable""","""Always Accountable""",,,Dead,"	    ""Always Accountable""",Caucasian-American
Nelson,Jake Kearney,Male,Brown,Early to mid 20s,Unknown,Unknown,"""The First Day of the Rest of Your Life""","""The Damned""","""The Damned""",Mauled to death by Shiva.,Dead,"	    ""The First Day of the Rest of Your Life"" to ""The Damned""",Caucasian-American
Mara,Lindsey Garrett,Female,Auburn,Mid to late 20s,Former Lieutenant of the Saviors (Post-Apocalypse),Unknown,"""The Damned""","""The Damned""","""The Damned""",Bitten and devoured by a zombified Dino.,Dead,"	    ""The Damned""",Caucasian-American
Gordon,Michael Scialabba,Male,Black,Late 30s,Former Worker for the Saviors (Post-Apocalypse),Maria - Former Wife (Deceased),"""The Cell""","""The Cell""","""The Cell"" (Alive)""Mercy"" (Zombified, Off-Screen)","Shot in the back by Dwight. (Alive) RV explosion caused by the militia. (Zombified, Off-Screen)",Dead,"	    ""The Cell""",Caucasian-American
Roy,Brian Stapf,Male,Brown,Early 30s,Unknown,Unknown,"""The Cell""","""The First Day of the Rest of Your Life""","""The First Day of the Rest of Your Life""",Bitten in the face by a zombified Sasha.,Dead,"	    ""The Cell"" to ""The First Day of the Rest of Your Life""",Caucasian-American
Emmett Carson,Tim Parati,Male,Brown (Greying),Early to mid 50s,Doctor (Pre- and Post-Apocalypse),Harlan Carson - Brother (Deceased)(Unnamed) - Sister-In-Law (Deceased),"""The Cell""","""Hostiles and Calamities""","""Hostiles and Calamities""",Burned alive inside a furnace after being thrown in by Negan.,Dead,"	    ""The Cell"" to ""Hostiles and Calamities""",Caucasian-American
Isabelle,Aerli Austen,Female,Red,Early to mid 30s,Unknown,Unknown,"""Sing Me a Song""","""Hearts Still Beating""","""Hearts Still Beating""",Shot in the head by Michonne.,Dead,"	    ""Sing Me a Song"" to ""Hearts Still Beating""",Caucasian-American
Joseph,Joshua Hoover,Male,Dark Brown,Mid to late 20s,U.S. Boarder Patrol Officer  (Pre-Apocalypse) Former Chief Engineer for the Saviors  (Post-Apocalypse)Former Guard for the Saviors  (Post-Apocalypse),Unknown,"""The Cell""","""Hostiles and Calamities"" (Corpse)","""Hearts Still Beating""",Head bashed in with a metal pipe by Daryl Dixon,Dead,"	    ""The Cell"" to ""Hearts Still Beating""",Caucasian-American
Chris,Ricky Russert,Male,Black,Late 20s to early 30s,Unknown,Unknown,"""The Cell""","""Sing Me a Song""","""Sing Me a Song""",Shot by Carl Grimes.,Dead,"	    ""The Cell"" to ""Sing Me a Song""",Caucasian-American
George,Brian F. Durkin,Male,Brown,Late 30s to early 40s,Unknown,Unknown,"""Sing Me a Song""","""Sing Me a Song""","""Sing Me a Song""",Shot by Carl Grimes.,Dead,"	    ""Sing Me a Song""",Caucasian-American
Roman,Stuart Greer,Male,Gray,Early 50s,Unknown,Unknown,"""East""","""Last Day on Earth""","""Last Day on Earth""",Shot six times by Morgan Jones.,Dead,"	    ""East"" to ""Last Day on Earth""",Caucasian-American
Jiro,Rich Ceraulo,Male,Black,Late 20's,Former Lieutenant of the Saviors (Post-Apocalypse),Unknown,"""East""","""East""","""East""","Shot in the stomach by Carol Peletier, later stabbed in the head by Rick Grimes.",Dead,"	    ""East""",Asian-American
Miles,Reece Fleetwood,Male,Black,Late 40s,Unknown,Unknown,"""East""","""East""","""East""",Impaled through the chest with a spear by Carol Peletier.,Dead,"	    ""East""",Caucasian-American
Neil,Robert Walker-Branchaud,Male,Brown,Late 40s to early 50s,Unknown,,"""Twice as Far""","""Service"" (Zombified)","""Twice as Far""  (Alive)""Service"" (Zombified)",Shot to death by Daryl Dixon (Alive)Put down by Rosita Espinosa (Zombified),Dead,,Caucasian-American
Primo,Jimmy Gonzales,Male,Bald,Late 30s to early 40s,Former Medic for the Saviors (Post-Apocalypse),Unknown,"""Not Tomorrow Yet""","""The Same Boat""","""The Same Boat""",Shot in the head by Rick Grimes,Dead,"	    ""Not Tomorrow Yet"" to 'The Same Boat""",Hispanic-American
Michelle,Jeananne Goossen,Female,Dark brown,Late 20s to early 30s,Unknown,Frank - Father (Deceased) (Unnamed) - Former Boyfriend (Deceased)Frank - Unborn Baby (Deceased),"""The Same Boat""","""The Same Boat""","""The Same Boat""",Shot in the temple by Carol Peletier,Dead,"	    ""The Same Boat""",Caucasian-American
Donnie,Rus Blackwell,Male,Black (Greying),Mid to late 40s,Unknown,Paula - Lover (Deceased),"""The Same Boat""","""The Same Boat""","""The Same Boat"" (Alive and Zombified)","Shot in the arm by Carol, which causes him to later die from blood loss. (Alive)Stabbed in the head by Molly. (Zombified)",Dead,"	    ""The Same Boat""",Caucasian-American
Gabe,Ian Casselberry,Male,Black,Mid to late 30s,Former Guard for the Saviors (Post-Apocalypse),,"""Not Tomorrow Yet""","""Not Tomorrow Yet""","""Not Tomorrow Yet""",Stabbed through the chest by Michonne (Alive)Stabbed in the head by Rick Grimes  (Before Reanimation),Dead,"	    ""Not Tomorrow Yet""",Hispanic American
Timmy,Brian Lancaster,Male,Black (Shaved),Late 40s to early 50s,Unknown,Unknown,"""Start to Finish""","""No Way Out""","""No Way Out""",Strangled to death by Daryl Dixon,Dead,"	    ""Start to Finish"" to ""No Way Out""",Caucasian-American
Dwight,Austin Amelio,Male,Blond,Late 20s to early 30s,Blue collar employee[1] (Pre-Apocalypse)Former Lieutenant of the Saviors (Post-Apocalypse)Former Informant for the Militia (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse),Sherry - Ex-WifeTina - Sister-in-Law (Deceased)(Unnamed) - Grandfather (Deceased),"""Always Accountable""","""Wrath"" (Unknown)",,,Unknown,"	    ""Always Accountable"" to ""Wrath"" (Unknown)",Caucasian-American
Sherry,Christine Evangelista,Female,Brown,Late 20s to early 30s,Babysitter (Pre-Apocalypse),"Tina - Sister (Deceased)Dwight - Ex-HusbandNegan - Former ""Husband""(Unnamed) - Grandfather-in-Law (Deceased)","""Always Accountable""","""Hostiles and Calamities"" (Unknown)",,,Unknown,"	    ""Always Accountable"" to ""Hostiles and Calamities"" (Unknown)",Caucasian-American
Tina,Liz E. Morgan,Female,Strawberry blonde,19,Babysitter (Pre-Apocalypse),Sherry - SisterDwight - Brother-in-Law,"""Always Accountable""","""Always Accountable""","""Always Accountable"" (Alive; Before Reanimation)","Throat bitten by the burnt and zombified Carla and Delly, later put down by Daryl Dixon, Dwight, or Sherry",Dead,,Caucasian-American
Bertie,Karen Ceesay,Female,Black,Early to mid 30s,Former Supply Runner for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Teacher (Post-Apocalypse)Secretary for the Hilltop Colony (Post-Apocalypse),Unknown,"""Knots Untie""",,,,Alive,"	    ""Knots Untie"" to Present",African-American
Kal,James Chen,Male,Black,Late 20s to Early 30s,Guard for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Self-Defense Instructor (Post-Apocalypse),Unknown,"""Knots Untie""",,,,Alive,"	    ""Knots Untie"" to Present",Asian-American
Marco,Gustavo Gomez,Male,Black,Early to mid 20s,Supply Runner for Hilltop Colony (Post-Apocalypse),Unknown,"""A New Beginning""",,,,Alive,"	    ""A New Beginning"" to Present",Hispanic-American
Gage,Jackson Pace,Male,Brown,Mid to Late Teens,Student (Pre- and Post-Apocalypse),Unknown,"""Stradivarius""",,,,Alive,"	    ""Stradivarius"" to Present",Caucasian-American
Adeline,Kelley Mack,Female,Black,Mid to Late Teens,Student (Pre- and Post-Apocalypse),Unknown,"""Stradivarius""",,,,Alive,"	    ""Stradivarius"" to Present",Caucasian-American
Rodney,Joe Ando Hirsh,Male,Black,Mid to Late Teens,Unknown,Unknown,"""Evolution""",,,,Alive,"	    ""Evolution"" to Present",Asian-American
Eduardo,Peter Zimmerman,Male,Black,Late 20s to early 30s,Guard for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Knots Untie""",,,,Unknown,"	    ""Knots Untie"" to ""Wrath""",Hispanic-American
"Paul ""Jesus"" Rovia",Tom Payne,Male,Light Brown,Mid to late 30s,Former Recruiter and Supply Runner for the Hilltop Colony (Post-Apocalypse)Former Martial Arts Teacher at the Hilltop Colony (Post-Apocalypse)Former Leader of the Hilltop Colony (Post-Apocalypse)Former Co-Leader of the Militia (Post-Apocalypse),Unknown,"""The Next World""","""Evolution""","""Evolution""",Stabbed through the back and heart by an unnamed Whisperer.,Dead,"	    ""The Next World"" to ""Evolution""",Caucasian-American
Gregory,Xander Berkeley,Male,Gray,Late 50s to early 60s,Former Leader of the Hilltop Colony (Post-Apocalypse),Unknown,"""Knots Untie""","""A New Beginning""","""A New Beginning""",Hanged by Daryl Dixon as requested by Maggie Rhee for his treachery and subsequent attempts to assassinate her.,Dead,"	    ""Knots Untie"" to ""A New Beginning""",Caucasian-American
Crystal,Kimberly Leemans,Female,Brown,Mid to late 20s,Food Exchanger for the Hilltop Colony (Post-Apocalypse),Unknown,"""Knots Untie""","""Knots Untie""",“Do Not Send Us Astray” (Off-Screen),"Devoured by a zombified member of the Militia. (Off-Screen)Put down by a Militia member (Out of Mercy, Off-Screen)",Dead,	    “Knots Untie”,Caucasian-American
Wesley,Ilan Srulovicz,Male,Brown,Early 30s,Supply Runner for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Knots Untie""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Injured by a Savior with a tainted weapon and succumbed to infection (Alive) Put down by Daryl Dixon (Zombified),Dead,"	    ""Knots Untie"" to ""Do Not Send Us Astray""",Caucasian-American
Harlan Carson,R. Keith Harris,Male,Brown,Early 40s,OB/GYN (Pre-Apocalypse)Former Physician for the Hilltop Colony (Post-Apocalypse)Former Physician for the Sanctuary (Post-Apocalypse),Emmett Carson - Brother (Deceased)(Unnamed) - Former Wife (Deceased),"""Knots Untie""","""Dead or Alive Or""","""Dead or Alive Or""",Shot in the chest by an unnamed Savior.,Dead,"	    ""Knots Untie"" to ""Dead or Alive Or""",Caucasian-American
Freddie,Brett Gentile,Male,Brown,Late 30s to Early 40s,Supply Runner for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse),(Unnamed) - Former Wife (Deceased),"""Knots Untie""","""The Damned""","""The Damned""",Shot multiple times by numerous Saviors.,Dead,"	    ""Knots Untie"" to  ""The Damned""",Caucasian-American
Andy,Jeremy Palko,Male,Brown,Early 30's,Food Exchanger for the Hilltop Colony (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Knots Untie""","""The Damned""","""The Damned""",Shot multiple times by numerous Saviors.,Dead,"	    ""Knots Untie"" to  ""The Damned""",Caucasian-American
Earl Sutton,John Finn,Male,Gray,Early 60s,Blacksmith (Pre- and Post-Apocalypse),Tammy Rose Sutton - WifeKenneth Sutton - Son (Deceased),"""A New Beginning""",,,,Alive,"	    ""A New Beginning"" to Present",Caucasian-American
Tammy Rose Sutton,Brett Butler,Female,Blonde,Early 60s,Head Gardener for Hilltop Colony (Post-Apocalypse),Earl Sutton - HusbandKenneth Sutton - Son (Deceased),"""A New Beginning""",,,,Alive,"	    ""A New Beginning"" to Present",Caucasian-American
Kenneth Sutton,AJ Achinger,Male,Brown,22,Supply Runner for the Hilltop Colony (Post-Apocalypse)Horse Handler for the Hilltop Colony (Post-Apocalypse),Earl Sutton - FatherTammy Rose Sutton - Mother,"""A New Beginning""","""A New Beginning""","""A New Beginning""",Blood loss and shock after being bitten on the arm by a walker and kicked in the ribs by a horse. (Alive)Stabbed in the head by Maggie Rhee. (Before Reanimation),Dead,"	    ""A New Beginning""",Caucasian-American
Craig,Myke Holmes,Male,Dark Brown,Mid to late 30s,Cook and Food Exchanger for the Hilltop Colony (Post-Apocalypse),Ethan - Brother (Deceased),"""Not Tomorrow Yet""","""Not Tomorrow Yet""",“Do Not Send Us Astray” (Off-Screen),"Devoured by zombified members of the Militia. (Off-Screen)Later put down by the Militia (Out of Mercy, Off-Screen)",Dead,"	    ""Not Tomorrow Yet""",Caucasian-American
Ethan,Justin Kucsulain,Male,Blond,Early 30's,Food Exchanger for the Hilltop Colony (Post-Apocalypse),Craig - Brother (Deceased),"""Knots Untie""","""Knots Untie""","""Knots Untie""",Stabbed in the throat by Rick Grimes.,Dead,"	    ""Knots Untie""",Caucasian-American
Ezekiel,Khary Payton,Male,Gray,Early to mid 50s,Amateur theater actor (Pre-Apocalypse)Zookeeper (Pre-Apocalypse)Leader of the Kingdom (Post-Apocalypse)Co-Leader of the Militia (Post-Apocalypse),Shiva - Pet (Deceased)Carol Peletier - WifeHenry - Adopted SonSophia Peletier - Stepdaughter (Deceased),"""The Well""",,,,Alive,"	    ""The Well"" to Present",African-American
Jerry,Cooper Andrews,Male,Black,Mid to late 30s,"Steward and Bodyguard for ""King"" Ezekiel (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Maintenance worker for the Kingdom (Post-Apocalypse)",Nabila - Girlfriend,"""The Well""",,,,Alive,"	    ""The Well"" to Present",Samoan-American
Dianne,Kerry Cahill,Female,Blonde,Late 30s,Former Kingdom Soldier (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse)Self-Defense Instructor (Post-Apocalypse)Former Guard at the Hilltop Colony (Post-Apocalypse),(Unnamed) - Sister (Deceased),"""The Well""",,,,Alive,"	    ""The Well"" to Present",Caucasian-American
Nabila,Nadine Marissa,Female,Unknown,Mid to late 30s,Kingdom Gardener (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Jerry - Boyfriend,"""Bury Me Here""",,,,Alive,"	    ""Bury Me Here"" to Present",African-American
Jenny,Unknown,Female,Brown,"7-10 (Season 7)8-11 (""A New Beginning"")14-17 (""Who Are You Now?"")",Student (Pre- and Post-Apocalypse),Unknown,"""Bury Me Here""",,,,Unknown,"	    ""Bury Me Here"" to Present",Caucasian-American
Dana,Peggy Sheffield,Female,Brown,Mid 50s,Surgeon (Pre-Apocalypse)Doctor for the Kingdom (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Do Not Send Us Astray""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Bitten on the neck by a zombified Tobin (Alive)Stabbed in the head by Daryl Dixon (Zombified),Dead,"	    ""Do Not Send Us Astray""",Caucasian-American
Kevin,Jason Burkey,Male,Brown,Late 20s to early 30s,Member of the Militia (Post-Apocalypse),Unknown,"""The Well""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Injured by a Savior with a tainted weapon and succumbed to infection (Alive)Put down by Ezekiel (Zombified),Dead,"	    ""The Well"" to ""Do Not Send Us Astray""",Caucasian-American
Kurt,Nick Arapoglou,Male,Brown,Mid to late 30's,Medic for the Kingdom (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Do Not Send Us Astray""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Bitten on the neck by zombified Tobin (Alive)Stabbed in the head by Michonne (Zombified),Dead,"	    ""Do Not Send Us Astray""",Caucasian-American
Alvaro,Carlos Navarro,Male,Black,Mid to late 30s,Kingdom Soldier (Post-Apocalypse)Member of the Militia (Post-Apocalypse),(Unnamed) - Father,"""The Well""","""Some Guy""","""Some Guy""",Shot in the back by Gunther,Dead,"	    ""The Well"" to ""Some Guy""",Hispanic-American
Daniel,Daniel Newman,Male,Strawberry Blond,Early 30s,Kingdom Soldier (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""East""","""Some Guy""","""Monsters"" (Alive, Off-Screen) ""Some Guy"" (Zombified)",Shot multiple times by the Saviors' machine gun. (Alive)  Shot in the head by Alvaro. (Zombified),Dead,"	    ""East"" to ""Monsters""",Caucasian-American
Colton,Unknown,Male,Brown,Early 30s,Kingdom Soldier (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Last Day on Earth""","""The Well""","""Monsters"" (Off-Screen)",Shot multiple times by the Saviors. (Off-Screen),Dead,"	    ""Last Day on Earth"" to ""The Well""",Caucasian-American
Richard,Karl Makinen,Male,Dark brown,Mid 40s,Kingdom Soldier (Post-Apocalypse),(Unnamed) - Former Wife (Deceased)Katy - Daughter (Deceased),"""The Well""","""Bury Me Here""","""Bury Me Here""",Strangled to death and later stabbed in the head by Morgan Jones.,Dead,"	    ""The Well"" to ""Bury Me Here""",Caucasian-American
Benjamin,Logan Miller,Male,Brown,Late teens,Assumed High School Student (Pre-Apocalypse)  Kingdom Soldier (Post-Apocalypse),(Unnamed) - Father (Deceased)Henry - Brother,"""The Well""","""Bury Me Here""","""Bury Me Here""",Shot in the leg by Jared and later died of blood loss. (Alive)Stabbed in the head by Morgan Jones. (Before Reanimation),Dead,"	    ""The Well"" to ""Bury Me Here""",Caucasian-American
Rachel,Mimi Kirkland,Female,Brown,10-1216-18 (Season 9),Member of the Militia (Post-Apocalypse) Road patrol between the joint communities (Post-Apocalypse),Unknown,"""Swear""",,,,Unknown,"	    ""Swear"" to Present",Caucasian-American
Beatrice,Briana VenskusUnknown Stand-In (Wrath),,Brown,Early to mid 30s,Member of the Militia (Post-Apocalypse)Road patrol between the joint communities (Post-Apocalypse),(Unnamed) -  Former Husband (Deceased),"""Swear""",,,,Unknown,"	    ""Swear"" to Present",Caucasian-American
Kathy,Nicole Barré,Female,Dark Brown,Mid to late 30s,Member of the Militia (Post-Apocalypse),Unknown,"""Swear""","""What Comes After"" (Zombified)","""The Obliged"" (Alive, Off-Screen)""What Comes After"" (Zombified)","Shot in the chest by Jed (Alive, Off-Screen)Shot in the head by Rick (Zombified)",Dead,"	    ""Swear"" to  ""The Obliged""",Caucasian-American
Cyndie,Sydney Park,Female,Black,"18 (Season 7)19 (""A New Beginning"")25 (""Who Are You Now?"")",High School Student (Pre-Apocalypse)Leader of Oceanside (Post-Apocalypse)Co-Leader of the Militia (Post-Apocalypse),Natania - Maternal Grandmother (Deceased)(Unnamed) - Mother (Deceased)(Unnamed) - Brother (Deceased),"""Swear""",,,,Unknown,"	    ""Swear"" to Present",Caucasian/African-American
Natania,Deborah May,Female,Blonde,Late 50s to early 60s,Former Leader of Oceanside (Post-Apocalypse),(Unnamed) - Daughter (Deceased)(Unnamed) - Grandson (Deceased)Cyndie - Granddaughter,"""Swear""","""How It's Gotta Be""","""How It's Gotta Be""",Shot by Enid.,Dead,"	    ""Swear"" to ""How It's Gotta Be""",Caucasian-American
Anne,Pollyanna McIntosh,Female,Brown,Mid to Late 30s,Art Teacher (Pre-Apocalypse)Artist (Pre- and Post-Apocalypse)Former Leader of the Scavengers (Post-Apocalypse),Gabriel Stokes - Ex-Lover,"""New Best Friends""","""What Comes After"" (Unknown)",,,Unknown,"	    ""New Best Friends"" to ""What Comes After"" (Unknown)",Caucasian-American
Tamiel,Sabrina Gennarino,Female,Blonde,Mid to Late 40s,Lieutenant of the Scavengers (Post-Apocalypse),Unknown,"""Hearts Still Beating""","""Still Gotta Mean Something"" (Photograph)","""The Lost and the Plunderers""",Shot in the chest by Simon (Alive)Crushed in a compactor by Anne (Zombified),Dead,"	    ""Hearts Still Beating"" to ""The Lost and the Plunderers""",Caucasian-American
Brion,Thomas Francis Murphy,Male,Light Brown,Late 50s to early 60s,Lieutenant of the Scavengers (Post-Apocalypse),Unknown,"""New Best Friends""","""The Lost and the Plunderers""","""The Lost and the Plunderers""",Shot in the chest by Simon (Alive) Crushed in a compactor by Anne (Zombified),Dead,"	    ""New Best Friends"" to ""The Lost and the Plunderers""",Caucasian-American
Farron,Anja Akstin,Female,Blonde,Mid 20s,Unknown,Unknown,"""The First Day of the Rest of Your Life""","""The First Day of the Rest of Your Life""","""The First Day of the Rest of Your Life""",Pushed off a high balcony by Michonne.,Dead,"	    ""The First Day of the Rest of Your Life""",Caucasian-American
Georgie,Jayne Atkinson,Female,Platinum Blonde,Late 50s to early 60s,Professor[1][2] (Pre-Apocalypse)Leader of an unnamed group (Post-Apocalypse),Unknown,"""The Key""",,,,Alive,"	    ""The Key"" to Present",Caucasian-American
Hilda,Kim Ormiston,Female,Brown,Late 20s,Unknown,Midge - Twin Sister,"""The Key""",,,,Alive,"	    ""The Key"" to Present",Caucasian-American
Midge,Misty Ormiston,Female,Brown,Late 20s,Unknown,Hilda - Twin Sister,"""The Key""",,,,Alive,"	    ""The Key"" to Present",Caucasian-American
Magna,Nadia Hilker,Female,BrownBlonde (Dyed),Early 30s,Ex-Convict (Pre-Apocalypse)Truck Stop Waitress (Pre-Apocalypse)Leader of her group (Post-Apocalypse),Yumiko - Girlfriend,"""What Comes After""",,,,Alive,"	    ""What Comes After"" to Present",Caucasian-American
Yumiko,Eleanor Matsuura,Female,Black,Mid to Late 30s,Unknown,Magna - Girlfriend,"""What Comes After""",,,,Alive,"	    ""What Comes After"" to Present",Japanese-English
Bernie,Unknown,Male,Black,Early 30s,Unknown,Unknown,"""Stradivarius"" (Zombified)","""Stradivarius"" (Zombified)","""Who Are You Now?"" (Confirmed Fate)""Stradivarius"" (Zombified)","Devoured by walkers (Alive, Off-Screen)Put down by Michonne (Zombified)",Dead,,Caucasian-American
Connie,Lauren Ridloff,Female,Black,Late 30s,Journalist (Pre-Apocalypse),Kelly - Sister,"""What Comes After""",,,,Alive,"	    ""What Comes After"" to Present",African-American
Kelly,Angel Theory,Female,Black,Early to Mid 20s,High School Student (Pre-Apocalypse),Connie - Sister,"""What Comes After""",,,,Alive,"	    ""What Comes After"" to Present",African-American
"""Beta""",Ryan Hurst,Male,Brown (Graying),Early 40s,Second-in-Command of the Whisperers (Post-Apocalypse),Unknown,"""TBA""",,,,Alive,"	    ""TBA"" to Present",Caucasian-American
"""Alpha""",Samantha Morton,Female,None (Bald),Late 30s to Early 40s,Leader of the Whisperers (Post-Apocalypse),Lydia - Daughter,"""TBA""",,,,Alive,"	    ""TBA"" to Present",Caucasian-American
Lydia,Cassady McClincy,Female,Brown,Mid to Late Teens,Assumed School Student (Pre-Apocalypse),"""Alpha"" - Mother","""TBA""",,,,Alive,"	    ""TBA"" to Present",Caucasian-American
Dog,Seven[1],Male,BrownBlack,Unknown,None,Daryl Dixon - Owner,"""Stradivarius""",,,,Alive,"	    ""Stradivarius"" to Present",Belgian Malinois
Nelly,Blade,Female,Brown,Unknown,Farm Hand,Hershel Greene - Owner (Deceased),"""Bloodletting""","""Pretty Much Dead Already""",,,Unknown,"	    ""Bloodletting"" to ""Pretty Much Dead Already""",
Shiva,None (Computer Generated),Female,Orange and white with black stripes,Between late juvenile and full grown,Zoo Exhibit (Pre-Apocalypse) Pet (Post-Apocalypse),Ezekiel - Owner,"""The Well""","""Some Guy""","""Some Guy""","Torn apart by walkers while saving Ezekiel, Jerry, and Carol",Dead,"	    ""The Well"" to ""Some Guy""",Felidae
Tabitha,Ruby,Female,Beige,Unknown,,Eastman - Former Owner (Deceased),"""Here's Not Here""","""Here's Not Here""","""Here's Not Here""",Devoured by a walker.,Dead,"	    ""Here's Not Here""",Capra aegagrus hircis
Buttons,Unknown,Male,Black,Unknown,,,"""Forget""","""Forget""","""Forget""",Mauled by walkers and put down by Aaron.,Dead,,
Flame,Chase,Female,Chesnut,Unknown,,Michonne - Owner ,"""30 Days Without An Accident""","""After"" (Corpse)","""Too Far Gone"" (Off-Screen)",Killed and disemboweled by walkers.,Dead,"	    ""30 Days Without An Accident"" to ""Too Far Gone""",
Violet,Unknown,Female,Pale Pink,Unknown,Farm Animal,Piglets - Children (Deceased),"""30 Days Without An Accident""","""30 Days Without An Accident""","""30 Days Without An Accident""",The Flu.,Dead,,
Carla,Unknown,Female,Unknown,Mid to Late teens,Unknown,Unknown,"""Always Accountable ""(Zombified)","""Always Accountable"" ""(Zombified)","""Always Accountable"" (Alive, Confirmed Fate; Zombified)",Burned alive in a forest fire set by Dwight. (Alive)Put down by Daryl Dixon. (Zombified),Dead,"	    ""Always Accountable""",Caucasian-American
Delly,Unknown,Female,Unknown,Mid to Late teens,,,"""Always Accountable"" (Zombified)","""Always Accountable"" (Zombified)","""Always Accountable"" (Zombified)",Burned in a fire (Alive)Put down by Daryl Dixon (Zombified),Dead,,Caucasian-American
Joe Sr.,Jake Garber,Male,Brown,Late 40s,Restaurant owner (Pre-Apocalypse),Joe Jr. - Son,"""After"" (Zombified)","""After"" (Zombified)","""After"" (Zombified)",Shot in the head Carl Grimes (Zombified),Dead,,Caucasian-American
Bill Jenkins,Unknown,Male,Unknown,60s,Army veteran (Pre-Apocalypse),Unknown,"""Live Bait"" (Zombified)","""Live Bait"" (Zombified)","""Live Bait"" (Zombified)",Shot himself (Alive)Stabbed by Philip Blake (Zombified),Dead,,Caucasian-American
Nick,David Pierce,Male,Brown,Possibly 30s,Unknown,Unknown,"""30 Days Without An Accident"" (Zombified)","""Infected"" (Corpse)",,,Dead,,Caucasian-American
Erin,Tiffany Morgan,Female,Brown,Late 30s to Early 40s,Unknown,Unknown,"""Forget""","""JSS""","""JSS""",Abdomen sliced open by Aphid then stabbed in the head by Carol.,Dead,"	    ""Forget"" to ""JSS""",Caucasian-American
